name	richness	group
control1	136	control
control2	181	control
control3	124	control
control4	156	control
control5	105	control
control6	161	control
control7	176	control
control8	142	control
control9	159	control
control10	165	control
control11	118	control
control12	110	control
control13	219	control
control14	260	control
control15	239	control
control16	234	control
control17	254	control
control18	275	control
control19	204	control
control20	204	control
control21	221	control
control22	258	control
control23	276	control
control24	256	control
control25	237	control
control26	226	control
control27	106	control
control28	119	control
control29	117	control
control30	109	control
control31	73	control
control32	116	control
control33	35	control
control34	35	control
control35	91	control
control36	130	control
control37	43	control
control38	99	control
control39	35	control
control40	75	control
control41	42	control
control42	52	control
control43	44	control
control44	92	control
control45	57	control
control46	56	control
control47	94	control
control48	54	control
control49	49	control
control50	93	control
control51	245	control
control52	229	control
control53	259	control
control54	235	control
control55	317	control
control56	207	control
control57	265	control
control58	235	control
control59	222	control
control60	265	control
control61	267	control
control62	224	control
control63	228	control
control64	229	control
control65	256	control
control66	215	control
control67	257	control
control68	238	control
control69	228	control
control70	249	control
control71	195	control
control72	130	control
control73	172	control
control74	169	control
control75	183	control
control76	179	control
control77	180	control
control78	135	control
control79	121	control
control80	7	control
control81	77	control
control82	26	control
control83	150	control
control84	138	control
control85	21	control
control86	75	control
control87	150	control
control88	104	control
control89	128	control
control90	115	control
control91	171	control
control92	157	control
control93	174	control
control94	193	control
control95	181	control
control96	168	control
control97	187	control
control98	203	control
control99	187	control
control100	165	control
control101	15	control
control102	154	control
control103	296	control
control104	300	control
control105	321	control
control106	280	control
control107	287	control
control108	302	control
control109	280	control
control110	274	control
control111	290	control
control112	313	control
control113	280	control
control114	323	control
control115	304	control
control116	311	control
control117	272	control
control118	269	control
control119	285	control
control120	277	control
control121	276	control
control122	293	control
control123	321	control
control124	297	control
control125	282	control
control126	288	control
control127	273	control
control128	326	control
control129	271	control
control130	261	control
control131	316	control
control132	285	control
control133	300	control
control134	288	control
control135	296	control
control136	295	control
control137	302	control
control138	298	control
control139	263	control
control140	279	control
control141	313	control
control142	287	control
control143	304	control
control144	291	control
control145	302	control
control146	319	control
control147	278	control
control148	311	control
control149	301	control
control150	304	control
control151	271	control
control152	271	control
control153	303	control
control154	285	control
control155	309	control
control156	306	control
control157	290	control
control158	293	control
control159	287	control
control160	305	control
control161	279	control
control162	309	control
control163	108	control
control164	124	control
control165	123	control
control166	144	control
control167	132	control
control168	171	control
control169	117	control
control170	166	control
control171	174	control
control172	110	control
control173	95	control
control174	101	control
control175	95	control
control176	118	control
control177	112	control
control178	67	control
control179	187	control
control180	187	control
control181	170	control
control182	115	control
control183	90	control
control184	181	control
control185	203	control
control186	156	control
control187	178	control
control188	176	control
control189	189	control
control190	183	control
control191	186	control
control192	183	control
control193	195	control
control194	189	control
control195	250	control
control196	126	control
control197	70	control
control198	58	control
control199	37	control
control200	71	control
control201	82	control
control202	96	control
control203	77	control
control204	93	control
control205	83	control
control206	101	control
control207	0	control
control208	0	control
control209	0	control
