name	shannon	group
control1	4.076504276	control
control2	4.047706788	control
control3	3.854159887	control
control4	3.960398579	control
control5	3.749085537	control
control6	3.656850116	control
control7	4.075741541	control
control8	3.17175142	control
control9	4.239347274	control
control10	3.608306715	control
control11	3.603601292	control
control12	3.700166737	control
control13	4.090099828	control
control14	3.96984792	control
control15	4.412035696	control
control16	3.612560928	control
control17	4.452090452	control
control18	4.520345548	control
control19	3.901244166	control
control20	4.76129106	control
control21	4.075908375	control
control22	3.695119858	control
control23	4.087425269	control
control24	4.2389372	control
control25	3.332388113	control
control26	4.260194658	control
control27	3.610517643	control
control28	2.875225015	control
control29	3.727278685	control
control30	3.72863953	control
control31	3.618529628	control
control32	3.938559114	control
control33	1.544182227	control
control34	3.082245543	control
control35	2.796308549	control
control36	3.777021639	control
control37	2.449703373	control
control38	2.715045191	control
control39	3.149848938	control
control40	2.14808983	control
control41	2.290480663	control
control42	3.57380461	control
control43	2.670543307	control
control44	3.861010035	control
control45	3.634582843	control
control46	3.555559566	control
control47	3.664690006	control
control48	2.438260641	control
control49	3.131850098	control
control50	3.702280666	control
control51	4.705457704	control
control52	3.85698274	control
control53	4.319252567	control
control54	3.23295444	control
control55	3.781914436	control
control56	4.2262243	control
control57	3.982084713	control
control58	3.95451512	control
control59	4.21448455	control
control60	4.397571432	control
control61	3.275963989	control
control62	4.072142004	control
control63	3.799127767	control
control64	4.534146457	control
control65	4.634170299	control
control66	4.42817745	control
control67	4.287881128	control
control68	4.046864008	control
control69	3.503939211	control
control70	4.623869103	control
control71	3.793338013	control
control72	3.182901283	control
control73	3.26328626	control
control74	3.851646615	control
control75	4.430503834	control
control76	4.059665106	control
control77	4.255975791	control
control78	3.528985664	control
control79	3.408652791	control
control80	1.147608477	control
control81	3.188684079	control
control82	2.274995002	control
control83	3.578585359	control
control84	3.712411424	control
control85	1.871318407	control
control86	3.323708841	control
control87	3.78546835	control
control88	3.197991419	control
control89	3.333835753	control
control90	3.34501208	control
control91	4.412135065	control
control92	2.640005808	control
control93	2.776323524	control
control94	4.072648403	control
control95	2.646758901	control
control96	2.877051737	control
control97	4.194283375	control
control98	3.061895148	control
control99	3.32639258	control
control100	4.368482295	control
control101	1.651734379	control
control102	3.319647828	control
control103	4.441322615	control
control104	4.349931805	control
control105	4.121029088	control
control106	4.615496591	control
control107	4.090972296	control
control108	4.290983294	control
control109	4.564145998	control
control110	4.558127125	control
control111	4.127985248	control
control112	3.919833327	control
control113	4.212467122	control
control114	4.418793915	control
control115	4.176850192	control
control116	4.023087272	control
control117	4.355946043	control
control118	4.761947066	control
control119	3.824568123	control
control120	4.73836108	control
control121	4.574621978	control
control122	4.031535286	control
control123	3.913161533	control
control124	4.523528366	control
control125	3.85286191	control
control126	4.553651984	control
control127	4.349352012	control
control128	3.890306944	control
control129	4.000422277	control
control130	4.267067302	control
control131	4.053554031	control
control132	4.324460833	control
control133	4.27478083	control
control134	4.045299952	control
control135	4.280246651	control
control136	4.797775199	control
control137	4.412945457	control
control138	4.615812859	control
control139	4.687934415	control
control140	4.404847545	control
control141	4.628023504	control
control142	4.894693934	control
control143	4.630152098	control
control144	4.143357181	control
control145	4.676621962	control
control146	4.184740595	control
control147	3.879360707	control
control148	4.797217777	control
control149	4.574881801	control
control150	3.723274523	control
control151	4.658775345	control
control152	3.830395983	control
control153	4.63325488	control
control154	4.520405082	control
control155	4.63345188	control
control156	4.693973492	control
control157	4.971788804	control
control158	4.482616476	control
control159	4.246876425	control
control160	4.145971343	control
control161	3.880277063	control
control162	4.492438273	control
control163	4.153991221	control
control164	4.337986048	control
control165	4.243069083	control
control166	4.123551218	control
