#sample	GROUP
SRR2080460	Treatment
SRR2080463	Treatment
SRR2080465	Treatment
SRR2080471	Treatment
SRR2080473	Treatment
SRR2080480	Treatment
SRR2080491	Control
SRR2080496	Control
SRR2080500	Control
SRR2080520	Control
SRR2080527	Control
SRR2080535	Control
SRR2080540	Treatment
SRR2080558	Treatment
SRR2080564	Treatment
SRR2080571	Treatment
SRR2080577	Treatment
SRR2080586	Treatment
SRR2080596	Control
SRR2080606	Control
SRR2080612	Control
SRR2080615	Control
SRR2080616	Control
SRR2080617	Control
SRR5420815	Treatment
SRR5420816	Treatment
SRR5420817	Treatment
SRR5420818	Treatment
SRR5420819	Control
SRR5420820	Treatment
SRR5420821	Treatment
SRR5420822	Treatment
SRR5420823	Treatment
SRR5420824	Treatment
SRR5420825	Treatment
SRR5420826	Treatment
SRR5420827	Treatment
SRR5420828	Treatment
SRR5420829	Treatment
SRR5420830	Treatment
SRR5420831	Treatment
SRR5420832	Treatment
SRR5420833	Treatment
SRR5420834	Treatment
SRR5420835	Treatment
SRR5420836	Treatment
SRR5420837	Treatment
SRR5420838	Treatment
SRR5420839	Treatment
SRR5420840	Treatment
SRR5420841	Treatment
SRR5420843	Treatment
SRR5420844	Treatment
SRR5420845	Treatment
SRR5420846	Treatment
SRR5420847	Treatment
SRR5420848	Treatment
SRR5420849	Treatment
SRR5420850	Treatment
SRR5420851	Treatment
SRR5420852	Treatment
SRR5420854	Control
SRR5420855	Control
SRR5420856	Treatment
SRR5420857	Treatment
SRR5420858	Treatment
SRR5420859	Treatment
SRR5420860	Treatment
SRR5420861	Treatment
SRR5420862	Treatment
SRR5420863	Treatment
SRR5420864	Treatment
SRR5420865	Treatment
SRR5420866	Treatment
SRR5420867	Treatment
SRR5420868	Treatment
SRR5420869	Treatment
SRR5420870	Treatment
SRR5420871	Treatment
SRR5420872	Treatment
SRR5420873	Control
SRR5420874	Treatment
SRR5420875	Treatment
SRR5420876	Treatment
SRR5420877	Treatment
SRR5420878	Treatment
SRR5420879	Treatment
SRR5420880	Treatment
SRR5420881	Treatment
SRR5420882	Treatment
SRR5420883	Treatment
SRR5420884	Treatment
SRR5420885	Treatment
SRR5420886	Treatment
SRR5420887	Control
SRR5420888	Control
SRR5420889	Control
SRR5420890	Treatment
SRR5420891	Treatment
SRR5420892	Treatment
SRR5420893	Treatment
SRR5420894	Treatment
SRR5420895	Treatment
SRR5420896	Treatment
SRR5420897	Treatment
SRR5420898	Treatment
SRR5420899	Treatment
SRR5420900	Treatment
SRR5420901	Treatment
SRR5420902	Treatment
SRR5420903	Treatment
SRR5420904	Treatment
SRR5420905	Treatment
SRR5420906	Treatment
SRR5420907	Treatment
SRR5420908	Treatment
SRR5420909	Treatment
SRR5420910	Treatment
SRR5420911	Treatment
SRR5420912	Treatment
SRR5420913	Treatment
SRR5420914	Treatment
SRR5420915	Treatment
SRR5420916	Treatment
SRR5420917	Treatment
SRR5420918	Treatment
SRR5420919	Treatment
SRR5420920	Treatment
SRR5420921	Treatment
SRR5420922	Treatment
SRR5420923	Control
SRR5420924	Control
SRR5420925	Control
SRR5420926	Control
SRR5420927	Treatment
SRR5420928	Treatment
SRR5420929	Treatment
SRR5420930	Treatment
SRR5420931	Treatment
SRR5420932	Treatment
SRR5420933	Treatment
SRR5420934	Treatment
SRR5420935	Treatment
SRR5420936	Treatment
SRR5420937	Treatment
SRR5420938	Treatment
SRR5420939	Treatment
SRR5420940	Treatment
SRR5420941	Treatment
SRR5420942	Treatment
SRR5420943	Treatment
SRR5420944	Treatment
SRR5420945	Treatment
SRR5420946	Treatment
SRR5420947	Treatment
SRR5420948	Treatment
SRR5420949	Treatment
SRR5420950	Treatment
SRR5420951	Treatment
SRR5420952	Treatment
SRR5420953	Treatment
SRR5420954	Treatment
SRR5420955	Treatment
SRR5420956	Treatment
SRR5420957	Treatment
SRR5420958	Treatment
SRR5420959	Treatment
SRR5420960	Control
SRR5420961	Control
SRR5420962	Control
SRR5420963	Treatment
SRR5420964	Treatment
SRR5649780.fastq	Treatment
SRR5649781.fastq	Treatment
SRR5649782.fastq	Control
SRR5649783.fastq	Control
SRR5649784.fastq	Treatment
SRR5649785.fastq	Control
SRR5649786.fastq	Control
SRR5649787.fastq	Treatment
SRR5649788.fastq	Control
SRR5649789.fastq	Treatment
SRR5649790.fastq	Control
SRR5649791.fastq	Control
SRR5649792.fastq	Treatment
SRR5649793.fastq	Treatment
SRR5649794.fastq	Control
SRR5649795.fastq	Treatment
SRR5649796.fastq	Treatment
SRR5649797.fastq	Control
SRR5649798.fastq	Control
SRR5649799.fastq	Control
SRR5649800.fastq	Control
SRR5649801.fastq	Treatment
SRR5649802.fastq	Control
SRR5649803.fastq	Treatment
SRR5649804.fastq	Control
SRR5649805.fastq	Treatment
SRR5649806.fastq	Treatment
SRR5649807.fastq	Control
SRR5649808.fastq	Treatment
SRR5649809.fastq	Treatment
SRR5649810.fastq	Control
SRR5649811.fastq	Control
SRR5649812.fastq	Control
SRR5649813.fastq	Control
SRR5649814.fastq	Control
